frame x y width height deformation
1.0 214 617 45.0 44.0 0.0112359550561797
11.0 213 617 45.0 46.0 0.0109890109890109
21.0 214 617 47.0 47.0 0.0
31.0 214 617 45.0 45.0 0.0
41.0 214 618 45.0 46.0 0.0109890109890109
51.0 215 617 45.0 46.0 0.0109890109890109
61.0 214 617 46.0 46.0 0.0
71.0 218 617 46.0 45.0 0.0109890109890109
81.0 241 618 45.0 46.0 0.0109890109890109
91.0 270 618 45.0 48.0 0.032258064516129
101.0 300 618 45.0 51.0 0.0625
111.0 333 619 45.0 51.0 0.0625
121.0 366 619 45.0 51.0 0.0625
131.0 401 619 45.0 53.0 0.0816326530612244
141.0 437 619 42.0 54.0 0.125
151.0 478 619 41.0 56.0 0.1546391752577319
161.0 513 619 43.0 57.0 0.14
171.0 552 619 41.0 57.0 0.1632653061224489
181.0 591 619 41.0 57.0 0.1632653061224489
191.0 632 618 41.0 57.0 0.1632653061224489
201.0 672 619 39.0 56.0 0.1789473684210526
211.0 713 619 39.0 57.0 0.1875
221.0 755 619 40.0 57.0 0.1752577319587628
231.0 799 618 40.0 58.0 0.1836734693877551
241.0 843 619 38.0 58.0 0.2083333333333333
251.0 886 619 38.0 58.0 0.2083333333333333
261.0 929 619 39.0 57.0 0.1875
271.0 971 619 38.0 57.0 0.2
281.0 1013 620 38.0 55.0 0.1827956989247312
291.0 1054 620 38.8412971496582 56.07634353637695 0.1815789590022381
301.0 1095 620 39.0 56.0 0.1789473684210526
311.0 1134 620 40.0 56.0 0.1666666666666666
321.0 1174 621 40.0 55.0 0.1578947368421052
331.0 1215 621 41.0 56.0 0.1546391752577319
341.0 1255 621 42.0 56.0 0.1428571428571428
351.0 1298 621 39.0 57.0 0.1875
361.0 1341 621 40.0 57.0 0.1752577319587628
371.0 1384 621 40.0 58.0 0.1836734693877551
381.0 1427 621 40.0 59.0 0.1919191919191919
391.0 1470 621 39.0 59.0 0.2040816326530612
401.0 1513 621 40.07086181640625 57.28078842163086 0.176781046475783
411.0 1558 621 39.0 59.0 0.2040816326530612
421.0 1602 621 38.0 58.0 0.2083333333333333
431.0 1646 621 38.0 59.0 0.2164948453608247
441.0 1690 621 38.0 60.0 0.2244897959183673
451.0 1734 621 38.0 60.0 0.2244897959183673
